Series Name,Series Code,Country Name,Country Code,,,,,,,,,,,,,,,,,,
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Peru,PER,,,,,,,,,,,,,,,,,,
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Peru,PER,,,,,,,,,,,,,,,,,,
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Peru,PER,,,,,,,,,,,,,,,,,,
Age dependency ratio (% of working-age population),SP.POP.DPND,Peru,PER,,,,,,,,,,,,,,,,,,
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,Peru,PER,,,,,,,,,,,,,,,,,,
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,Peru,PER,,,,,,,,,,,,,,,,,,
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Agricultural land (% of land area),AG.LND.AGRI.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Agricultural land (sq. km),AG.LND.AGRI.K2,Peru,PER,,,,,,,,,,,,,,,,,,
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Peru,PER,,,,,,,,,,,,,,,,,,
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Peru,PER,,,,,,,,,,,,,,,,,,
"Air transport, passengers carried",IS.AIR.PSGR,Peru,PER,,,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Peru,PER,,,,,,,,,,,,,,,,,,
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,Peru,PER,,,,,,,,,,,,,,,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Peru,PER,,,,,,,,,,,,,,,,,,
Arable land (% of land area),AG.LND.ARBL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Arable land (hectares per person),AG.LND.ARBL.HA.PC,Peru,PER,,,,,,,,,,,,,,,,,,
Arable land (hectares),AG.LND.ARBL.HA,Peru,PER,,,,,,,,,,,,,,,,,,
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Armed forces personnel, total",MS.MIL.TOTL.P1,Peru,PER,,,,,,,,,,,,,,,,,,
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Peru,PER,,,,,,,,,,,,,,,,,,
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,Peru,PER,,,,,,,,,,,,,,,,,,
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Peru,PER,,,,,,,,,,,,,,,,,,
Average time to clear exports through customs (days),IC.CUS.DURS.EX,Peru,PER,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,Peru,PER,,,,,,,,,,,,,,,,,,
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,Peru,PER,,,,,,,,,,,,,,,,,,
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),VC.BTL.DETH,Peru,PER,,,,,,,,,,,,,,,,,,
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,Peru,PER,,,,,,,,,,,,,,,,,,
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,Peru,PER,,,,,,,,,,,,,,,,,,
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Bird species, threatened",EN.BIR.THRD.NO,Peru,PER,,,,,,,,,,,,,,,,,,
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Peru,PER,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,Peru,PER,,,,,,,,,,,,,,,,,,
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Broad money (current LCU),FM.LBL.BMNY.CN,Peru,PER,,,,,,,,,,,,,,,,,,
Broad money growth (annual %),FM.LBL.BMNY.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,Peru,PER,,,,,,,,,,,,,,,,,,
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Peru,PER,,,,,,,,,,,,,,,,,,
Cereal production (metric tons),AG.PRD.CREL.MT,Peru,PER,,,,,,,,,,,,,,,,,,
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Peru,PER,,,,,,,,,,,,,,,,,,
Changes in inventories (constant LCU),NE.GDI.STKB.KN,Peru,PER,,,,,,,,,,,,,,,,,,
Changes in inventories (current LCU),NE.GDI.STKB.CN,Peru,PER,,,,,,,,,,,,,,,,,,
Changes in inventories (current US$),NE.GDI.STKB.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,Peru,PER,,,,,,,,,,,,,,,,,,
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Children (0-14) living with HIV,SH.HIV.0014,Peru,PER,,,,,,,,,,,,,,,,,,
